TEXT_ID,BUSINESS_ID,ATTR_ID,TEXT_VALUE
10000088,10000013,14,No
10000089,10000013,15,No
10000090,10000013,16,No
10000091,10000013,18,No
10000092,10000013,19,No
10000093,10000013,20,Yes
10000094,10000013,21,Yes
10000095,10000013,22,No
10000096,10000013,23,No
10000097,10000013,31,No
10000098,10000013,34,Yes
10000099,10000013,35,No
10000100,10000013,36,Yes
10000101,10000013,37,Yes
10000102,10000014,1,Yes
10000103,10000014,32,Lot
10000104,10000014,34,Yes
10000105,10000014,37,Yes
10000106,10000016,1,Yes
10000107,10000018,1,Yes
10000108,10000018,3,Full Bar
10000109,10000018,4,Divey
10000110,10000018,5,Casual
10000111,10000018,8,No
10000112,10000018,9,No
10000113,10000018,11,No
10000114,10000018,13,No
10000115,10000018,15,No
10000116,10000018,16,No
10000117,10000018,17,No
10000118,10000018,18,No
10000119,10000018,19,No
10000120,10000018,20,Yes
10000121,10000018,21,Yes
10000122,10000018,22,No
10000123,10000018,23,No
10000124,10000018,25,Yes
10000125,10000018,26,Yes
10000126,10000018,28,Average
10000127,10000018,31,No
10000128,10000018,32,Lot
10000129,10000018,33,No
10000130,10000018,34,Yes
10000131,10000018,35,No
10000132,10000018,36,Yes
10000133,10000018,37,Yes
10000134,10000018,38,Free
10000135,10000019,1,No
10000136,10000019,3,None
10000137,10000019,4,Divey
10000138,10000019,5,Casual
10000139,10000019,7,No
10000140,10000019,8,No
10000141,10000019,10,No
10000142,10000019,11,No
10000143,10000019,15,Yes
10000144,10000019,16,No
10000145,10000019,18,No
10000146,10000019,19,No
10000147,10000019,20,No
10000148,10000019,21,Yes
10000149,10000019,22,No
10000150,10000019,23,No
10000151,10000019,26,Yes
10000152,10000019,28,Average
10000153,10000019,30,Yes
10000154,10000019,31,No
10000155,10000019,32,Lot
10000156,10000019,34,Yes
10000157,10000019,35,No
10000158,10000019,36,Yes
10000159,10000019,37,No
10000160,10000019,38,No
10000161,10000020,1,Yes
10000162,10000020,3,None
10000163,10000020,5,Casual
10000164,10000020,11,No
10000165,10000020,15,No
10000166,10000020,16,Yes
10000167,10000020,18,No
10000168,10000020,19,No
10000169,10000020,20,Yes
10000170,10000020,21,Yes
10000171,10000020,22,No
10000172,10000020,23,No
10000173,10000020,26,No
10000174,10000020,28,Average
10000175,10000020,31,No
10000176,10000020,34,Yes
10000177,10000020,35,No
10000178,10000020,36,Yes
10000179,10000021,1,Yes
10000180,10000021,38,Free
10000181,10000022,1,Yes
10000182,10000022,3,Full Bar
10000183,10000022,5,Casual
10000184,10000022,9,No
10000185,10000022,11,No
10000186,10000022,15,No
10000187,10000022,16,No
10000188,10000022,17,No
10000189,10000022,18,No
10000190,10000022,19,Yes
10000191,10000022,20,Yes
10000192,10000022,21,No
10000193,10000022,22,Yes
10000194,10000022,23,No
10000195,10000022,26,Yes
10000196,10000022,27,Live
10000197,10000022,28,Average
10000198,10000022,31,Yes
10000199,10000022,32,Street
10000200,10000022,34,Yes
10000201,10000022,35,No
10000202,10000022,36,Yes
10000203,10000024,1,No
10000204,10000025,1,Yes
10000205,10000025,3,None
10000206,10000025,5,Casual
10000207,10000025,8,No
10000208,10000025,11,No
10000209,10000025,20,Yes
10000210,10000025,21,Yes
10000211,10000025,26,No
10000212,10000025,28,Average
10000213,10000025,31,No
10000214,10000025,34,Yes
10000215,10000025,35,No
10000216,10000025,36,No
10000217,10000025,37,Yes
10000218,10000025,38,No
10000219,10000026,6,Yes
10000220,10000027,1,Yes
10000221,10000027,3,None
10000222,10000027,5,Casual
10000223,10000027,11,Yes
10000224,10000027,20,No
10000225,10000027,21,Yes
10000226,10000027,26,Yes
10000227,10000027,28,Quiet
10000228,10000027,31,No
10000229,10000027,34,Yes
10000230,10000027,36,No
10000231,10000029,1,Yes
10000232,10000029,3,None
10000233,10000029,5,Casual
10000234,10000029,8,No
10000235,10000029,11,No
10000236,10000029,15,No
10000237,10000029,16,Yes
10000238,10000029,18,No
10000239,10000029,19,No
10000240,10000029,20,Yes
10000241,10000029,21,Yes
10000242,10000029,22,No
10000243,10000029,23,No
10000244,10000029,26,No
10000245,10000029,28,Average
10000246,10000029,31,No
10000247,10000029,34,Yes
10000248,10000029,35,No
10000249,10000029,36,Yes
10000250,10000029,38,No
10000251,10000030,1,Yes
10000252,10000030,6,No
10000253,10000030,21,Yes
10000254,10000031,1,Yes
10000255,10000031,3,Full Bar
10000256,10000031,4,Casual
10000257,10000031,5,Casual
10000258,10000031,8,Yes
10000259,10000031,11,No
10000260,10000031,15,No
10000261,10000031,16,No
10000262,10000031,18,No
10000263,10000031,19,Yes
10000264,10000031,20,Yes
10000265,10000031,21,Yes
10000266,10000031,22,No
10000267,10000031,23,No
10000268,10000031,26,Yes
10000269,10000031,28,Average
10000270,10000031,31,Yes
10000271,10000031,32,Lot
10000272,10000031,34,Yes
10000273,10000031,35,Yes
10000274,10000031,36,Yes
10000275,10000031,37,Yes
10000276,10000031,38,No
10000277,10000032,1,Yes
10000278,10000032,3,None
10000279,10000032,5,Casual
10000280,10000032,8,No
10000281,10000032,11,No
10000282,10000032,20,No
10000283,10000032,21,Yes
10000284,10000032,26,No
10000285,10000032,28,Quiet
10000286,10000032,31,No
10000287,10000032,34,Yes
10000288,10000032,35,No
10000289,10000032,36,No
10000290,10000032,37,No
10000291,10000032,38,No
10000292,10000033,2,Yes
10000293,10000033,6,Yes
10000294,10000034,1,Yes
10000295,10000034,5,Casual
10000296,10000034,11,Yes
10000297,10000034,15,No
10000298,10000034,16,No
10000299,10000034,18,No
10000300,10000034,19,No
10000301,10000034,20,Yes
10000302,10000034,22,No
10000303,10000034,23,No
10000304,10000034,26,No
10000305,10000034,28,Average
10000306,10000034,31,No
10000307,10000034,34,Yes
10000308,10000034,35,No
10000309,10000034,36,Yes
10000310,10000035,1,Yes
10000311,10000035,3,None
10000312,10000035,5,Casual
10000313,10000035,8,No
10000314,10000035,11,No
10000315,10000035,14,Yes
10000316,10000035,15,No
10000317,10000035,16,No
10000318,10000035,18,No
10000319,10000035,19,No
10000320,10000035,20,Yes
10000321,10000035,21,Yes
10000322,10000035,22,No
10000323,10000035,23,No
10000324,10000035,26,No
10000325,10000035,28,Very Loud
10000326,10000035,31,Yes
10000327,10000035,34,Yes
10000328,10000035,35,No
10000329,10000035,36,No
10000330,10000035,38,Free
10000331,10000036,1,Yes
10000332,10000036,3,None
10000333,10000036,6,No
10000334,10000036,11,No
10000335,10000036,31,Yes
10000336,10000036,32,Street
10000337,10000036,34,Yes
10000338,10000036,37,Yes
10000339,10000036,38,Free
10000340,10000037,20,Yes
10000341,10000039,1,Yes
10000342,10000039,32,Lot
10000343,10000040,1,Yes
10000344,10000041,1,Yes
10000345,10000041,3,None
10000346,10000041,4,Casual
10000347,10000041,5,Casual
10000348,10000041,8,No
10000349,10000041,11,No
10000350,10000041,14,Yes
10000351,10000041,15,No
10000352,10000041,16,No
10000353,10000041,18,No
10000354,10000041,19,No
10000355,10000041,20,Yes
10000356,10000041,21,Yes
10000357,10000041,22,Yes
10000358,10000041,23,No
10000359,10000041,26,No
